Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Illinois St.,MVC,"108.4
99","93.2
15","51.4
135","44.0
5","18.6
187","19.0
148","30.4
130","28.5
148","29.9
305","32.6
112","66.4
291","69.0
95","48.6
201","41.1
4","37.0
81","32.5
52"
East Tennessee St. 13,SC,"108.2
100","98.0
61","55.8
14","48.7
89","20.8
313","22.0
20","30.1
140","27.4
92","42.8
16","38.2
230","69.7
192","72.6
288","55.0
15","45.7
42","38.2
40","35.4
189"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Loyola Chicago,MVC,"108.2
101","101.8
110","55.3
19","51.8
219","17.3
81","20.9
37","20.6
342","25.8
41","30.8
287","33.5
137","70.8
157","71.0
211","53.5
33","49.6
177","38.9
21","37.3
294"
Georgetown,BE,"108.2
102","97.4
52","52.0
104","47.4
41","20.1
282","17.3
254","29.0
191","30.5
233","42.6
22","38.8
244","73.2
85","69.9
146","51.8
71","46.8
73","34.9
173","32.4
49"
Fort Wayne,Sum,"108.0
103","107.6
234","56.4
9","53.5
307","17.8
109","17.8
213","28.8
199","24.6
18","25.8
349","32.3
104","71.8
121","74.2
336","54.9
17","49.9
195","39.0
19","39.1
333"
Weber St.,BSky,"108.0
104","109.8
276","56.0
13","50.6
175","16.9
66","16.5
298","21.4
339","30.3
229","42.9
14","29.5
51","73.8
69","74.3
338","53.0
41","49.8
190","40.3
8","35.2
179"
St. Bonaventure,A10,"108.0
105","101.4
101","49.7
208","49.9
144","17.6
102","20.9
40","33.0
60","31.0
249","42.4
24","41.5
300","76.9
16","69.2
104","48.5
207","48.1
121","34.8
174","35.3
184"
Albany,AE,"108.0
106","104.2
172","51.7
115","51.2
199","18.3
152","17.5
235","33.0
56","23.6
3","33.4
236","31.4
81","76.2
25","70.4
170","50.3
132","50.7
227","37.1
77","34.7
150"
Samford,SC,"108.0
107","107.1
221","53.0
63","49.8
135","19.0
217","17.2
259","29.4
170","31.2
260","41.5
30","31.8
85","74.6
49","72.6
286","50.2
135","49.8
191","38.9
23","33.3
82"
George Washington,A10,"107.9
108","104.7
179","49.5
218","50.2
156","19.3
232","16.2
310","32.7
64","26.4
55","36.6
142","26.9
20","74.6
48","72.7
293","45.6
304","48.9
152","37.1
78","35.4
191"
Canisius,MAAC,"107.9
109","110.3
288","53.1
62","54.5
326","18.2
150","20.8
43","30.2
139","32.2
292","30.9
285","33.8
146","73.6
75","73.3
316","51.4
87","56.0
344","37.1
74","34.3
125"
Nebraska Omaha,Sum,"107.6
110","108.8
260","52.3
90","54.0
316","18.3
158","19.3
131","28.9
194","31.3
266","40.6
46","33.7
141","75.4
34","73.9
328","49.0
189","53.0
305","38.4
34","37.0
284"
Oklahoma,B12,"107.6
111","95.6
33","47.4
299","50.0
149","19.0
214","18.5
176","30.8
115","29.8
208","36.7
141","33.5
134","72.1
111","68.4
64","45.7
302","47.1
84","34.3
199","36.5
264"
Monmouth,MAAC,"107.6
112","100.3
85","50.8
166","47.0
33","16.7
57","19.5
110","29.7
157","30.0
214","37.3
120","35.7
190","75.7
30","71.1
214","47.6
250","45.1
27","37.3
68","33.4
86"
Louisiana Tech,CUSA,"107.4
113","100.7
91","53.4
57","48.0
65","17.7
105","19.4
118","29.2
180","26.2
50","34.6
192","26.9
21","70.7
158","68.6
76","52.0
66","45.8
48","37.1
76","34.7
149"
UNC Greensboro,SC,"107.3
114","104.8
180","52.4
87","50.2
155","19.9
275","19.4
123","34.3
32","30.4
230","30.1
299","34.8
170","71.1
143","75.2
345","50.4
126","47.6
101","37.0
80","36.4
258"
Lipscomb,ASun,"107.3
115","107.2
222","55.0
25","52.0
230","20.1
283","20.3
61","28.3
208","30.9
248","41.2
34","44.2
326","72.8
96","69.6
121","55.7
11","50.9
229","36.0
125","36.0
227"
Furman,SC,"107.0
116","101.9
111","54.9
27","49.4
117","19.2
224","19.5
112","27.2
241","27.1
80","32.1
270","33.7
144","70.6
162","70.8
201","53.3
35","50.9
231","38.1
44","31.6
26"
Rice,CUSA,"107.0
117","107.8
236","53.9
42","50.0
146","19.4
240","17.4
247","28.6
202","26.2
51","41.5
31","35.7
189","74.3
56","71.2
220","50.9
107","49.7
186","38.9
22","33.9
106"
Lehigh,Pat,"106.8
118","103.4
149","55.4
18","50.2
154","19.8
262","18.6
169","23.2
326","24.1
8","32.0
271","28.1
34","77.0
14","73.6
320","53.4
34","49.0
157","39.2
17","34.8
158"
George Mason,A10,"106.8
119","104.6
177","49.3
225","48.6
86","18.7
192","14.2
349","31.6
85","24.5
13","39.7
66","27.7
29","75.1
41","69.1
98","48.5
204","48.4
134","34.2
211","32.7
62"
Washington,P12,"106.8
120","106.4
212","50.6
173","52.8
276","18.8
204","16.4
304","34.9
27","31.4
268","30.8
289","34.7
169","65.6
317","71.9
259","49.4
172","49.6
181","35.4
150","39.9
343"
Memphis,Amer,"106.8
121","101.5
104","48.9
234","48.8
96","16.3
43","19.3
125","31.6
88","30.6
236","36.7
140","33.2
125","68.3
241","68.7
80","51.1
95","47.7
109","29.5
342","33.7
99"
Evansville,MVC,"106.7
122","103.0
132","48.8
239","49.6
124","17.9
119","18.5
174","27.1
252","27.1
81","45.8
2","40.9
291","71.1
144","70.9
206","47.2
262","47.9
117","36.9
87","34.9
163"
