Year,Round,SeedDiff,OffEff,DefEff,OffFgp,DefFgp,OffTop,DefTop,OffRp,DefRp,OffFtr,DefFtr,OffFtp,DefFtp,Off2pp,Def2pp,Off3pp,Def3pp,ScoreDiff
2019,1,7,-1.1,2.6,1.3,0.2,-2.2,2.8,2.6,4.6,-1.6,-8.5,-2.3,4,6.2,3.2,-3.9,-3.5,19
2019,1,-9,4.3,-7,-2.1,-1.5,2.1,1.2,5.5,4.8,-0.1,8.2,-0.5,-1.2,-0.7,-1,-2.7,-1.6,7
2019,1,-15,18.7,-20.2,4.8,-7.8,-4.8,-1.2,2,-6.4,-0.4,-3.5,2.6,-0.4,10.4,-7.9,-3.8,-4.9,38
2019,1,-5,-3.5,-7.5,-6.2,-2.8,4.2,-1.9,8.8,-0.2,4.3,-0.8,0.8,3,-8.4,-2.5,-2.1,-2.5,2
2019,1,-15,11.9,-19.6,0.1,-8.6,1.8,5,14.9,3.6,1,-2.5,-8.2,-4.9,5.9,-7.6,-5.9,-7.1,23
2019,1,-5,4.9,-2.3,2.8,-1.2,-2.7,1.3,0,0,-11.1,-6.7,0.4,0,4.9,2,0.1,-4.1,17
2019,0,0,2.8,4.7,5.2,0.8,2.3,-4.5,-0.2,-1.1,-7.4,-16.8,5.3,0.8,1.8,-2.4,7.7,4.1,6
2019,0,0,5.6,3.3,7.7,-1.9,-0.5,-4.6,-1.6,-4.2,-4,-6.5,0.8,1.3,9.1,-4.3,4,1.5,11
2019,0,0,8.5,0.9,3.6,3.7,-7,-3.1,-14.1,-1,-1.3,-4.9,6,5.3,0.8,1.7,5.2,5,4
2019,0,0,1.3,-1.9,-1.3,-2.2,4.4,-2.2,9.9,-2.5,14.3,-1.1,-3.9,-0.5,0.1,-3,-2.2,-0.8,9
2018,6,-2,14,3.7,5.6,0.8,1,-1.3,4.1,2.2,-1.3,-3.3,11.9,2.6,4.3,2.2,4.9,-1.5,17
2018,5,-8,3.9,-5,-3.8,0.3,-5.1,0.1,3.4,-1,-1.5,4.8,-6.6,1.7,-1.9,-0.3,-4.6,1.2,12
2018,5,0,6.2,-2.3,2,-0.6,-1.6,0,0.2,-4.1,2.4,2.1,7,3.4,3.4,0.4,0,-1.6,16
2018,4,-2,15.6,2.6,7.5,2.1,-2.8,-3.5,-3.3,-1.6,-9.9,-11.3,7.5,4.4,7.9,3.9,4.2,-0.6,12
2018,4,-1,-0.2,3.4,1.6,2.7,-0.9,0.9,-9.4,1.2,-7.6,2.3,-0.1,-1.5,-0.4,3.2,2.9,1.3,4
2018,4,2,1,1.7,5.1,-1.7,1.9,-2.2,-3.8,-6,-1.6,-11.6,-0.8,-2.8,3.2,-1.8,5.7,-1,16
2018,4,-6,1.3,-6,0.7,-0.7,-3.8,0.1,-6.8,-4.9,-6.3,-2.4,-3.1,0.7,1.1,1.4,0.2,-2.3,4
2018,3,4,-8.3,-7.3,2.9,-2,5.6,1.4,-4.6,-3.4,-4.1,-4.9,-1.7,-0.5,4.5,-3.6,0.6,0.3,1
2018,3,4,-6.4,-2,0.8,2.3,-1.4,4.8,-9.8,0.9,-10.2,4.5,3.6,4,2.2,0.9,-1.6,2.9,3
2018,3,-4,3.2,-4.4,2.5,0.8,-5.2,4.2,-8.4,-2.4,-1.3,2.4,-0.1,3.3,2.2,1.1,2.3,0.6,27
2018,3,5,-4.2,1.5,-3.8,1.3,1.7,2,-0.7,6.7,4.9,3.3,-1.7,-0.2,-4.6,1.3,-1.8,0.5,15
2018,3,-4,9.6,3.3,4.6,1.9,-0.8,0.8,2.2,4.9,-6.5,-2.6,-4.6,1.2,4,4.7,3.5,-1.9,4
2018,3,-9,16.4,0.9,9,0.2,-1.6,-2.2,4.1,-0.4,-5.9,-9.1,-2.5,-0.3,9.4,0.3,5.5,0.2,4
2018,3,-4,7.5,-1.8,9.1,-1.4,-1.5,-5.1,-7.4,-3,-1.9,-17.4,1.3,3.5,10.2,3.6,4.8,-6.3,12
2018,3,1,-10.5,-4.3,-5.7,-0.6,2,4,4.9,0.7,3.7,13.8,-3.9,1.4,-3,-0.4,-6.1,-0.9,13
2018,2,8,-3.7,3.3,6.9,0.7,1.2,-1,-11.3,-5.2,-3.3,-12.4,-3.1,-0.6,9.3,1,1.8,0.2,1
2018,2,-1,1.3,0.6,2.9,-1.6,-1,-0.5,2.8,-2.1,1,-0.4,-2.3,1.4,3.5,-2,1.5,-0.1,6
2018,2,-7,4.3,-1.9,4.6,-1.2,-1.2,0.5,-4.9,2.8,-8.2,-5.2,1.1,-1.1,3.6,-1.4,3.6,-0.5,4
2018,2,-5,12.7,-4.3,4.8,-4,2.2,-5.3,7.8,1.8,4.5,-18.3,1.3,-0.6,5.6,-5.2,2,-1.2,25
2018,2,-8,1.3,-7.1,-3,-2,2.1,-1.3,3.8,1.9,14.1,-7.2,-0.1,-4.7,-3.1,-0.4,-1.4,-3,20
2018,2,-3,-0.5,-3.6,0.6,2.2,-3.5,0.4,-8.3,-0.9,-1.9,-11.6,-5.8,1.8,4.2,3,-3.5,0.9,1
2018,2,-8,20.5,-1.3,7.6,0.7,-5.3,-0.5,0.2,-3.8,-12.5,-9.8,10.9,6.2,5.5,2.1,7.5,-1.1,23
2018,2,-3,-2.5,-2.4,1.2,-2.3,3.5,1.7,4.2,-1.8,6.7,5.6,-1.5,-2.8,3.5,-1.5,-1.1,-2.9,3
2018,2,-8,7.2,0.4,3.7,-4.9,0.1,-1.8,0.4,3.4,9.5,-11.1,-3.3,-5.4,-0.2,-4,6.3,-4.1,3
2018,2,8,-12.9,-2.3,-10,3.5,-0.1,4.9,-2.3,3.8,4.6,0.7,-1.1,0.3,-8.6,6.7,-8.4,-1.9,2
2018,2,5,-9.5,-2.3,-0.6,-3.2,2.5,-1,-3.5,1.8,4,1.6,-8.2,0.1,1.5,0.4,-3,-5.4,21
2018,2,5,7,15.1,3.6,6.1,-3.5,-3.6,-11.8,1.1,0.3,3.3,5.1,2.5,1.9,9.3,3.9,0.8,2
2018,2,1,-1.4,-3.9,2.1,-2.5,1,-3.3,-4.9,-1.7,-6.3,-10.9,-1.9,-2.1,2.9,-3.8,0.9,0.1,31
2018,2,-7,7.3,-8.5,0.4,-2.5,0,0.9,0,3.6,3.6,6,8.6,5.1,5.3,-2.1,-4.1,-2,7
2018,2,8,-7.9,-1,-2.7,-1.5,0.6,3.7,2.1,6.7,-4,6.8,-8.8,-4.6,-2.3,-4.4,-2.2,2.1,5
2018,2,-8,12.4,-6.8,-4.3,0,-0.7,4.9,14.6,-2.2,-1.8,15.2,0.2,2.6,-6.7,-3.3,-0.6,3,23
2018,1,15,-12.5,15.4,-0.5,7.3,3.2,-0.2,-1.1,2.7,5.7,4.6,-10.6,-5.1,-2,8.2,-0.1,4,20
2018,1,1,-6.8,-3.7,-4.8,-1,1.6,5.8,3.4,7.3,7.3,12,-1.6,1.2,-5.3,-1.1,-3.1,-0.6,10
2018,1,-7,-1.1,-6.7,-5.6,-4.4,4.1,0.6,13.1,7.6,19.4,2.7,-10,0.7,-5.3,-2.3,-3.2,-4.9,5
2018,1,9,-2.3,2.4,-1.5,-1.1,-1,1.4,-1.3,4,-7,8.3,-6.2,0.5,-2.4,0.7,0.2,-2.7,21
2018,1,5,-2.7,-1.1,4.6,-1.6,2.3,0.6,-7,-2.3,3.1,-2.9,6.4,-0.8,4.4,-1.7,3.4,-0.8,2
